date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:07	194066/194066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221576004968.0-194066-862589927%22	https://erumbot.com/static/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900.eot	(from https://erumbot.com/static/css/awesomefont.css)
17:33:07	194066/194066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221576004968.0-194066-862589927%22	https://erumbot.com/static/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900d41d.eot	(from https://erumbot.com/static/css/awesomefont.css)
17:33:07	76084/76084	---M--	200	added ('OK')	application/octet-stream	etag:%221576004968.0-76084-1550193795%22	https://erumbot.com/static/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900.woff2	(from https://erumbot.com/static/css/awesomefont.css)
17:33:08	98996/98996	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221576004968.0-98996-1206064209%22	https://erumbot.com/static/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900.woff	(from https://erumbot.com/static/css/awesomefont.css)
17:33:09	193780/193780	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221576004968.0-193780-865276909%22	https://erumbot.com/static/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900.ttf	(from https://erumbot.com/static/css/awesomefont.css)
17:33:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2014:33:09%20GMT	http://erumbot.com/dashboard/login	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/dashboard/login.2a.delayed	(from https://erumbot.com/dashboard/)
17:33:10	849145/849145	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221576004968.0-849145-865407983%22	https://erumbot.com/static/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/static/webfonts/fa-solid-900.svg	(from https://erumbot.com/static/css/awesomefont.css)
17:33:10	784/784	---MC-	302	error ('FOUND')	text/html	date:Mon,%2023%20Mar%202020%2014:33:10%20GMT	https://erumbot.com/dashboard/login	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/dashboard/login	(from https://erumbot.com/dashboard/)
17:33:10	0/-1	---M--	301	error ('')			http://erumbot.com/dashboard/login	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/dashboard/login.2c.delayed	(from https://erumbot.com/dashboard/)
17:33:11	784/784	---MC-	302	error ('FOUND')	text/html	date:Mon,%2023%20Mar%202020%2014:33:11%20GMT	https://erumbot.com/dashboard/login	C:/My%20Web%20Sites/dddddddddddddddddddddddddddddddddddddddddddddddddddddddd/erumbot.com/dashboard/login	(from https://erumbot.com/dashboard/)
